,Label,Orientation,timeline,A0:D6:35:00:17:46,A0:D6:35:00:18:1C,A0:D6:35:00:22:5C,A0:D6:35:00:22:DD,A0:D6:35:00:22:DF,A0:D6:35:00:22:E4,A0:D6:35:00:22:F1,A0:D6:35:00:22:F2,A0:D6:35:00:22:F8,A0:D6:35:00:23:37,A0:D6:35:00:23:43,A0:D6:35:00:23:89,A0:D6:35:00:24:5E,A0:D6:35:00:24:75,A0:D6:35:00:24:91,A0:D6:35:00:24:FF,A0:D6:35:00:25:1F,A0:D6:35:00:25:70,A0:D6:35:00:25:80,A0:D6:35:00:25:A3,A0:D6:35:00:25:D6,A0:D6:35:00:25:DB,A0:D6:35:00:25:E0,A0:D6:35:00:26:0B,A0:D6:35:00:26:11,A0:D6:35:00:26:12,A0:D6:35:00:26:15,A0:D6:35:00:26:28,A0:D6:35:00:26:34,A0:D6:35:00:26:43,A0:D6:35:00:26:51,A0:D6:35:00:26:79,A0:D6:35:00:26:83,A0:D6:35:00:26:B5,A0:D6:35:00:27:64,A0:D6:35:00:27:8C,A0:D6:35:00:27:A6,A0:D6:35:00:27:BD,A0:D6:35:00:27:CF,A0:D6:35:00:27:FA,A0:D6:35:00:28:1C,A0:D6:35:00:28:7F,A0:D6:35:00:28:85,A0:D6:35:00:28:B2,A0:D6:35:00:28:C4,A0:D6:35:00:28:CA,A0:D6:35:00:28:D0,A0:D6:35:00:29:F6,A0:D6:35:00:2A:14,A0:D6:35:00:2A:27,A0:D6:35:00:2A:33,A0:D6:35:00:2A:3C,A0:D6:35:00:2B:83,A0:D6:35:00:2B:9B,A0:D6:35:00:2B:A4,A0:D6:35:00:2B:CA,A0:D6:35:00:2C:D9,A0:D6:35:00:2C:E6,A0:D6:35:00:2C:F9,A0:D6:35:00:2D:02,A0:D6:35:00:2D:9D,A0:D6:35:00:2E:50,A0:D6:35:00:2E:75,A0:D6:35:00:2E:90,A0:D6:35:00:2F:0D,A0:D6:35:00:2F:14,A0:D6:35:00:39:D1
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.75,0.0,0.0,0.0,0.0,0.0,-82.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89.08333333333331,0.0,0.0,-99.0,0.0,0.0,-75.9090909090909,0.0,0.0,-97.14285714285714,0.0,0.0,-98.5,0.0,0.0,0.0,0.0,0.0,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.92307692307692,0.0,0.0,-92.66666666666669,0.0,0.0,-79.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.42857142857143,0.0,0.0,0.0,0.0,0.0,-72.45454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.36363636363636,0.0,0.0,0.0,0.0,0.0,-87.6,0.0,0.0,0.0,0.0,0.0,-96.6153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,-93.83333333333331,0.0,0.0,-75.75,0.0,0.0,-94.33333333333331,0.0,0.0,-79.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.33333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.14285714285714,0.0,0.0,-83.8888888888889,0.0,0.0,-76.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.75,0.0,0.0,-75.1111111111111,0.0,0.0,-80.77777777777777,0.0,0.0,-78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,0.0,0.0,0.0
8,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.875,0.0,0.0,-90.0,0.0,0.0,-80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.84615384615384,0.0,0.0,-92.0,0.0,0.0,-78.53846153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.83333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.81818181818181,0.0,0.0,0.0,0.0,0.0,-90.625,0.0,0.0,-81.1111111111111,0.0,0.0,-90.375,0.0,0.0,-87.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2.0,2.0,1.0,0.0,0.0,0.0,-97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.125,0.0,-93.33333333333331,0.0,0.0,0.0,-87.4,0.0,0.0,-73.41666666666667,0.0,0.0,-91.55555555555556,0.0,0.0,-84.05,0.0,0.0,-98.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
