Label,Lantitude,Longtitude
-2,151.181655,-33.794509
-1,151.181669,-33.794538
0,151.181683,-33.794568
1,151.181697,-33.794597
2,151.181711,-33.794626
3,151.181724,-33.794655
4,151.181738,-33.794685
5,151.181752,-33.794714
6,151.181766,-33.794743
7,151.18178,-33.794773
8,151.181794,-33.794802
9,151.181808,-33.794831
10,151.181822,-33.79486
11,151.181835,-33.79489
12,151.181849,-33.794919
13,151.181863,-33.794948
14,151.181877,-33.794978
15,151.18169,-33.794497
16,151.181704,-33.794527
17,151.181718,-33.794556
18,151.181731,-33.794586
19,151.181746,-33.794615
20,151.181759,-33.794644
21,151.181772,-33.794674
22,151.181787,-33.794703
23,151.181801,-33.794732
24,151.181813,-33.794762
25,151.181831,-33.79479
26,151.181842,-33.79482
27,151.181859,-33.794848
28,151.181868,-33.794879
29,151.181884,-33.794908
30,151.1819,-33.794936
31,151.181916,-33.794964
32,151.181725,-33.794486
33,151.181739,-33.794516
34,151.181753,-33.794544
35,151.181768,-33.794573
36,151.181782,-33.794602
37,151.181795,-33.794632
38,151.181807,-33.794663
39,151.181823,-33.794691
40,151.181836,-33.79472
41,151.181853,-33.794748
42,151.181863,-33.79478
43,151.181876,-33.794809
44,151.181889,-33.794839
45,151.181908,-33.794866
46,151.181919,-33.794896
47,151.181937,-33.794924
48,151.181946,-33.794955
49,151.181761,-33.794474
50,151.181775,-33.794503
51,151.181788,-33.794534
52,151.181802,-33.794562
53,151.181816,-33.794591
54,151.18183,-33.794621
55,151.181845,-33.794649
56,151.181857,-33.79468
57,151.181874,-33.794707
58,151.181884,-33.794739
59,151.181901,-33.794766
60,151.181912,-33.794797
61,151.181927,-33.794826
62,151.181941,-33.794855
63,151.181954,-33.794885
64,151.181966,-33.794915
65,151.181986,-33.794941
66,151.181796,-33.794463
67,151.18181,-33.794492
68,151.181824,-33.794522
69,151.181837,-33.794551
70,151.181851,-33.79458
71,151.181866,-33.794608
72,151.18188,-33.794638
73,151.181894,-33.794667
74,151.181909,-33.794696
75,151.181921,-33.794726
76,151.181936,-33.794755
77,151.181949,-33.794785
78,151.18196,-33.794816
79,151.181976,-33.794844
80,151.181991,-33.794873
81,151.182005,-33.794902
82,151.182018,-33.794932
83,151.181831,-33.794451
84,151.181845,-33.79448
85,151.181859,-33.79451
86,151.181873,-33.794539
87,151.181886,-33.79457
88,151.181901,-33.794598
89,151.181915,-33.794626
90,151.18193,-33.794654
91,151.181942,-33.794686
92,151.181956,-33.794715
93,151.181972,-33.794742
94,151.181981,-33.794776
95,151.182,-33.794801
96,151.182011,-33.794832
97,151.182028,-33.794859
98,151.182036,-33.794893
99,151.18205,-33.794922
100,151.181866,-33.79444
101,151.18188,-33.794468
102,151.181894,-33.794497
103,151.181908,-33.794529
104,151.181922,-33.794558
105,151.181936,-33.794587
106,151.18195,-33.794615
107,151.181965,-33.794643
108,151.181978,-33.794673
109,151.181993,-33.794702
110,151.182005,-33.794732
111,151.182021,-33.79476
112,151.182036,-33.794789
113,151.182048,-33.794819
114,151.182059,-33.794851
115,151.182076,-33.794878
116,151.182092,-33.794906
117,151.181902,-33.794428
118,151.181915,-33.794457
119,151.181929,-33.794487
120,151.181943,-33.794515
121,151.181957,-33.794547
122,151.18197,-33.794577
123,151.181984,-33.794606
124,151.181999,-33.794633
125,151.182012,-33.794663
126,151.182027,-33.794691
127,151.182041,-33.794721
128,151.182052,-33.794753
129,151.182067,-33.794781
130,151.18208,-33.794811
131,151.182099,-33.794835
132,151.18211,-33.794868
133,151.182127,-33.794894
134,151.181937,-33.794417
135,151.181951,-33.794445
136,151.181965,-33.794475
137,151.181979,-33.794507
138,151.181992,-33.794536
139,151.182006,-33.794563
140,151.18202,-33.794593
141,151.182035,-33.794621
142,151.182048,-33.794651
143,151.182063,-33.794678
144,151.182077,-33.794707
145,151.182089,-33.794739
146,151.182105,-33.794766
147,151.18212,-33.794795
148,151.182133,-33.794825
149,151.182145,-33.794857
150,151.182162,-33.794882
151,151.181972,-33.794405
152,151.181986,-33.794433
153,151.182,-33.794466
154,151.182014,-33.794491
155,151.182028,-33.794523
156,151.182042,-33.794551
157,151.182055,-33.794583
158,151.182069,-33.794611
159,151.182082,-33.794642
160,151.182097,-33.794669
161,151.182111,-33.794698
162,151.182124,-33.794729
163,151.182139,-33.794756
164,151.182154,-33.794784
165,151.182168,-33.794813
166,151.182181,-33.794844
167,151.182192,-33.794877
168,151.182007,-33.794394
169,151.182022,-33.794424
170,151.182035,-33.794451
171,151.182049,-33.794483
172,151.182063,-33.794512
173,151.182077,-33.794543
174,151.182091,-33.79457
175,151.182105,-33.794599
176,151.182118,-33.79463
177,151.182132,-33.794657
178,151.182146,-33.794686
179,151.182159,-33.794718
180,151.182175,-33.794744
181,151.18219,-33.794771
182,151.182205,-33.7948
183,151.182218,-33.79483
184,151.182229,-33.794862
185,151.182043,-33.794382
186,151.182056,-33.79441
187,151.18207,-33.794439
188,151.182084,-33.794468
189,151.182098,-33.794499
190,151.182112,-33.794526
191,151.182126,-33.79456
192,151.182141,-33.794584
193,151.182154,-33.794616
194,151.182168,-33.794644
195,151.182182,-33.794673
196,151.182195,-33.794704
197,151.182212,-33.79473
198,151.182222,-33.794765
199,151.182236,-33.794793
200,151.182249,-33.794824
201,151.182268,-33.794846
202,151.182078,-33.794371
203,151.182092,-33.794401
204,151.182105,-33.794426
205,151.182119,-33.794458
206,151.182133,-33.794485
207,151.182147,-33.79452
208,151.182161,-33.794549
209,151.182175,-33.794574
210,151.182188,-33.794607
211,151.182202,-33.794635
212,151.182216,-33.794665
213,151.182229,-33.794697
214,151.182244,-33.794722
215,151.18226,-33.794749
216,151.182274,-33.794777
217,151.182288,-33.794807
218,151.182301,-33.794838
219,151.182113,-33.794359
220,151.182126,-33.794386
221,151.182141,-33.794419
222,151.182155,-33.794447
223,151.182169,-33.794475
224,151.182183,-33.794505
225,151.182196,-33.794537
226,151.182211,-33.794562
227,151.182223,-33.794597
228,151.182237,-33.794625
229,151.182251,-33.794656
230,151.182267,-33.794679
231,151.182278,-33.794713
232,151.182294,-33.79474
233,151.182308,-33.794768
234,151.182322,-33.794797
235,151.182335,-33.794829
